NO	KOPERASI	DESA	KECAMATAN	AKTIF	JENIS KOPERASI	KELOMPOK KOPERASI
926	Koperasi Pertanian Makmur	Ds. Pulorejo	Dawarblandong	FALSE	Produsen	Kop. Pertanian
927	Koperasi Simpan Pinjam Mitra Artha Graha	Pulorejo	Dawarblandong	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
928	Koperasi Wanita Arum Makaryo	Desa Pulorejo	Dawarblandong	TRUE	Konsumen	Kop. Wanita
929	Koperasi Perkebunan Rosan Makmur	Jatirowo	Dawarblandong	TRUE	Produsen	Kop. Perkebunan
930	Koperasi Pertanian KMDH Sari Makmur Jatirowo	Ds. Jatirowo	Dawarblandong	FALSE	Produsen	Kop. Pertanian
931	Koperasi Wanita Jati Makmur	Ds. Jatirowo 	Dawarblandong	TRUE	Konsumen	Kop. Wanita
932	Koperasi Serba Usaha Agrobis Guno Karso	Dsn. Semanding Ds. Suru	Dawarblandong	TRUE	Konsumen	Kop. Serba Usaha
933	Koperasi Pertanian KMDH Tani Makmur	Ds. Suru	Dawarblandong	FALSE	Produsen	Kop. Pertanian
934	Koperasi Wanita Melati Indah Mekar	Ds. Suru 	Dawarblandong	TRUE	Konsumen	Kop. Wanita
935	Koperasi Wanita Mandiri Sejahtera	Ds.Bangeran	Dawarblandong	TRUE	Konsumen	Kop. Wanita
936	Koperasi Pertanian KMDH Wana Asri	Ds. Bangeran	Dawarblandong	FALSE	Produsen	Kop. Pertanian
937	Koperasi Pertanian Sari Rejeki	Ds. Pucuk	Dawarblandong	FALSE	Produsen	Kop. Pertanian
938	Koperasi Pertanian KMDH Wana Lestari	Ds. Pucuk	Dawarblandong	FALSE	Produsen	Kop. Pertanian
939	Koperasi Wanita Bina Usaha	Pucuk 	Dawarblandong	TRUE	Konsumen	Kop. Wanita
940	Koperasi Unit Desa Dawarblandong	Banyulegi	Dawarblandong	TRUE	Produsen	KUD
941	Koperasi Wanita Srikandi	Ds.Banyulegi	Dawarblandong	TRUE	Konsumen	Kop. Wanita
942	Koperasi Pertanian Harapan Makmur	Ds. Gunungan	Dawarblandong	FALSE	Produsen	Kop. Pertanian
943	Koperasi Serba Usaha Barokah Sukses Makmur	Gunungan	Dawarblandong	TRUE	Konsumen	Kop. Serba Usaha
944	Koperasi Wanita Gunungan Jaya	Gunungan 	Dawarblandong	TRUE	Konsumen	Kop. Wanita
945	Koperasi Pertanian KMDH Sumber Wana	Ds. Brayublandong	Dawarblandong	FALSE	Produsen	Kop. Pertanian
946	Koperasi Wanita Mekar Jaya	Brayublandong	Dawarblandong	TRUE	Konsumen	Kop. Wanita
947	Koperasi Pertanian KMDH Wana Madu Rasa	Ds. Madureso	Dawarblandong	FALSE	Produsen	Kop. Pertanian
948	Koperasi Wanita Madu Lancar	Desa Madureso	Dawarblandong	TRUE	Konsumen	Kop. Wanita
949	Koperasi Pertanian Tani Santoso	Ds. Temu Ireng	Dawarblandong	TRUE	Produsen	Kop. Pertanian
950	Koperasi Wanita Temu Rukun	Temuireng	Dawarblandong	TRUE	Konsumen	Kop. Wanita
951	Koperasi Wanita Lancar Jaya	Randegan	Dawarblandong	TRUE	Konsumen	Kop. Wanita
